IDrespond,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Age,Education,Occupation,Income,q1k,q2k,q3k,q4k,Q5K1,Q5K2,Q5K3,Q5K4,Q5K5,Q5K6,Q5K7,Q6K,Q7K,Q8K,Q9K,Q10C1,Q10C2,Q10C3,Q10C4,Q10C5,Q10C6,Q10C7,Q11C1,Q11C2,Q11C3,Q11C4,Q11C5,Q12C1,Q12C2,Q12C3,Q12C4,Q12C5,Q12C6,Q12C8,Q13C1,Q13C2,Q13C3,Q13C4,Q13C5,Q13C6,Q14C,Q15C1,Q15C2,Q15C3,Q15C4,Q15C5,Q15C6,Q16P1,Q16P2,Q16P3,Q16P4,Q16P5,Q17P1,Q17P2,Q17P3,Q17P4,Q17P5,Q18I1,Q18I2,Q18I3,Q18I4,Q22C1,Q22C2,Q22C3,Q22C4,Q22c5,Q22c6
QSI548,0,1.55.216.132,100,446,1,04/04/2019,R_26bdWCw1i7Xk2Jx, , , , ,21.03129578,105.851593,anonymous,VI,2,18,2,1,2,2,1,2,1,1,1, , , ,1, ,1,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,7,8,2,3,5,1,4,4,3,2,5,1,6,1, , , , ,1, , ,1,1, , ,1,2,3,1,2,5,1,5,2,1,3,5,4,2,6
QSI549,0,123.16.250.39,100,882,1,04/04/2019,R_pmJscmCuudTEigF, , , , ,21.03129578,105.851593,anonymous,EN,2,42,3,2,2,1,1,3,2, ,1, , ,1,1, ,1,3,2,1,2,2,2,2,2,1,1,1,1,1,2,1, , , , , , , , , , , , , ,1, , , , ,1, , , ,1, , ,2,2,2,2,2,3,3,3,3, , , , , , 
QSI550,0,117.4.232.238,100,712,1,04/05/2019,R_3k1UIRzajJe8Woh, , , , ,21.03129578,105.851593,anonymous,VI,2,18,2,1,2,2,1,2,1,1,1, , , ,1, ,1,3,2,2,1,1,1,2,2,1,3,1,2,1,1,1,4,5,6,3,2,1,8,4,2,1,3,5,6,1,1,1,1,1,1,1, ,1, , , ,2,2,1,2,2,4,4,4,5,1,2,4,5,3,6
QSI551,0,27.67.3.41,100,659,1,04/05/2019,R_3kESL2tB4yyF3jd, , , , ,21.03129578,105.851593,anonymous,VI,2,22,2,1,2,2,1,4,2,1,1, , , , , ,1,2,1,2,1,1,3,3,1,1,2,1,1,1,1,1,5,2,4,3,6,1,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,5,1,4,3,2,6
QSI552,0,118.70.133.219,100,767,1,04/05/2019,R_3Jr8vNMNetYRuj8, , , , ,21.03129578,105.851593,anonymous,EN,2,21,2,1,2,1,1,3,1,1,1,1, , ,1, ,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,3,6,1,5,2,8,1,5,2,3,4,6,2,1, ,1,1,1, , ,1, , , ,3,3,2,2,2,3,4,3,5,3,1,2,5,4,6
QSI553,0,103.7.38.36,100,1009,1,04/05/2019,R_2OTsQY9K1XG7AOG, , , , ,15.03329468,108.7333069,anonymous,EN,2,30,3,4,2,2,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,5,6,1,3,4,2,8,2,4,5,3,1,6,1,1, ,1,1,1, , ,1, , , ,1,1,1,1,1,5,5,5,5,1,3,5,4,2,6
QSI554,0,14.232.225.66,100,1002,1,04/05/2019,R_1NqwAd0CYsatorB, , , , ,21.03129578,105.851593,anonymous,VI,2,20,2,1,2,1,1,2,1, ,1, , , , , ,1,2,4,1,1,1,1,2,1,1,1,1,2,1,1,1,5,4,6,1,3,2,8,3,1,2,5,4,6,2,1,1,1,1,1, ,1, , , , ,4,4,1,4,2,3,5,3,5,5,3,4,2,1,6
QSI555,0,27.66.128.234,100,746,1,04/05/2019,R_28Ut3zoSMZryKLc, , , , ,21.03129578,105.851593,anonymous,VI,2,21,2,1,2,2,1,3,1,1,1, , , ,1, ,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,5,6,4,8,5,2,1,3,4,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,2,1,1,1,1,5,1,3,4,2,6
QSI556,0,14.232.234.15,100,830,1,04/05/2019,R_RqstxX1cskLgp8t, , , , ,21.03129578,105.851593,anonymous,EN-GB,2,35,3,4,3,2,1,4,1,1,1, ,1,1,1, ,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,6,5,2,3,4,1,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,3,5,5,5,5,3,1,2,4,5,6
QSI557,0,171.247.37.98,100,677,1,04/05/2019,R_3lJEOt6JwO5j3g8, , , , ,16,106,anonymous,VI,2,35,3,4,2,1,1,3,1,1,1,1,1,1,1, ,1,2,4,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,3,4,5,6,8,1,3,2,5,4,6,1, , ,1,1,1, , , ,1, , ,3,3,3,3,2,3,3,4,5,5,2,3,1,4,6
QSI558,0,118.70.41.100,100,548,1,04/05/2019,R_1IT3U0q8PVMV4fV, , , , ,21.03129578,105.851593,anonymous,VI,2,19,2,1,2,2,1,2,2, ,1, ,1, ,1, ,2,2,1,2,2,1,2,3,1,1,2,1,2,1,2,1,3,2,4,6,1,5,8,1,5,4,2,3,6,3,1, ,1, ,1, ,1, ,1, , ,2,3,1,2,4,3,5,3,5,5,1,2,4,3,6
QSI559,0,42.113.163.25,100,1502,1,04/05/2019,R_1i8SUZdvRFcOpUN, , , , ,16,106,anonymous,VI,2,23,2,4,2,2,1,3,1,1,1, , , ,1, ,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,4,5,6,1,2,3,8,5,2,1,4,3,6,1,1, , ,1,1, , ,1,1, , ,2,2,2,2,2,2,1,2,2,3,2,4,5,1,6
QSI560,0,42.113.252.229,100,935,1,04/05/2019,R_25Qs50BpCqSLcO1, , , , ,21.03129578,105.851593,anonymous,VI,2,22,2,1,2,1,1,2,1,1,1, ,1, ,1, ,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,6,3,5,4,8,4,2,1,3,5,6,2,1, ,1,1,1, , ,1,1, , ,2,2,3,3,2,3,3,1,1,1,2,3,5,4,6
QSI561,0,14.187.82.136,100,1781,1,04/05/2019,R_30ohIvRrr4yZFO3, , , , ,10.81419373,106.6437988,anonymous,VI,2,49,2,4,2,1,1,3, ,1,1, ,1, ,1, ,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,6,5,4,3,2,1,8,3,2,1,4,5,6,1,1,1, , ,1, ,1, ,1, , ,2,1,1,2,1,5,5,5,5,5,4,3,2,1,6
QSI562,0,14.248.132.125,100,1058,1,04/05/2019,R_2TGKk0REfhxPoPX, , , , ,21.03129578,105.851593,anonymous,EN,2,21,2,1,2,2,1,3,1,1,1,1,1,1,1, ,1,2,2,2,2,2,2,2,1,1,2,3,3,3,1,1,5,2,6,3,4,1,8,5,1,2,4,3,6,2,1,1,1,1,1, ,1, , , ,1,2,1,1,2,2,5,3,4,5,2,1,5,4,3,6
QSI563,0,1.55.227.101,100,457,1,04/05/2019,R_3m3K3ny6WXfyljE, , , , ,21.03129578,105.851593,anonymous,VI,2,21,2,1,2,1,1,4,2,1,1, ,1, ,1, ,1,3,4,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,4,3,5,6,8, , , , , , ,1,1,1,1,1,1, , ,1,1, , ,2,2,1,1,3,4,4,5,4,2,1,3,5,4,6
QSI564,0,58.187.67.148,100,460,1,04/05/2019,R_Zfd5YAal9Yxi26B, , , , ,21.03129578,105.851593,anonymous,VI,2,26,2,4,3,1,1,4,1,1,1,1,1,1,1, ,1,2,1,2,2,1,2,2,2,1,2,1,1,1,1,1,4,3,5,2,6,1,8,1,2,3,5,4,6,1,1,1,1,1,1, ,1, , , , ,2,2,1,1,2,5,5,5,5,5,3,2,4,1,6
QSI565,0,123.19.144.137,100,607,1,04/05/2019,R_brQ195nORmqHt8R, , , , ,16.46670532,107.6000061,anonymous,VI,2,21,2,1,2,2,1,3,1, ,1,1,1, ,1, ,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,3,2,5,1,6,4,8,3,1,2,4,5,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,2,1,1,1,1, , , , , , 
QSI566,0,118.71.196.255,100,704,1,04/05/2019,R_1EcgoDC3Q5eW9zR, , , , ,21.03129578,105.851593,anonymous,VI,2,20,2,1,2,2,1,3,2,1,1, , , ,1, ,1,2,3,2,1,1,2,2,1,1,1,1,1,1,1,1,3,5,6,4,1,2,7,3,1,2,5,4,6,1, , , , ,1, , ,1, , , ,1,1,2,2,1,4,4,3,5,2,1,3,4,5,6
QSI567,0,27.67.39.40,100,403,1,04/05/2019,R_2ElWESqKBU6lCbm, , , , ,21.03129578,105.851593,anonymous,VI,2,22,2,1,2,2,1,2,2,1,1, ,1,1, , ,1,2,4,1,1,1,2,1,1,1,2,1,1,1,1,1,5,6,4,3,2,1,8,4,2,1,5,3,6,2,1,1,1,1,1, ,1, , , , ,2,2,1,1,1,5,4,3,5,3,1,2,5,4,6
QSI568,0,1.55.223.151,100,1090,1,04/05/2019,R_1FlJ8zeP0dbg8i6, , , , ,21.03129578,105.851593,anonymous,EN,2,20,2,1,2,2,1,2,2,1,1,1, , , , ,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,5,1,4,3,6,8,2,3,1,4,5,6,1, , , , ,1, ,1, , , , ,2,1,1,1,2,4,5,5,5,2,3,5,4,1,6
QSI569,0,113.20.101.61,100,576,1,04/05/2019,R_2fsRYWrViAHaDkd, , , , ,21.03129578,105.851593,anonymous,VI,2,33,2,4,2,2,1,4,2,1,1,1,1,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,3,2,4,8,3,2,1,4,5,6,1, , , , ,1, , ,1,1, , ,1,1,1,2,2,5,5,5,5,1,2,5,4,3,6
QSI570,0,116.107.154.98,100,1404,1,04/05/2019,R_3D2rElLVV1i1PYP, , , , ,21.03129578,105.851593,anonymous,VI,2,25,2,1,2,2,1,2,1,1,1,1,1,1,1, ,1,2,3,2,2,1,2,2,1,1,2,1,1,1,1,1,6,4,1,2,5,3,8,4,2,1,3,5,6,3, , , , ,1, ,1, , , , ,3,3,2,1,3,4,4,4,5,5,4,2,3,1,6
QSI571,0,117.6.133.166,100,649,1,04/05/2019,R_2pMlTjPz4YF5FzR, , , , ,21.03129578,105.851593,anonymous,VI,2,26,2,4,3,1,1,4,1,1,1, , , ,1, ,1,2,4,2,1,1,2,1,1,1,1,1,1,1,1,1,4,5,6,3,2,1,8,4,2,1,5,3,6,1, , , , ,1, ,1, , , , ,2,2,1,1,1,5,5,5,5,1,3,4,5,2,6
QSI572,0,42.113.190.186,100,592,1,04/05/2019,R_1GwD9m0a75rTCS7, , , , ,10.81419373,106.6437988,anonymous,VI,2,20,2,1,2,2,1,4,1,1,1, ,1,1,1, ,1,3,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,5,6,2,4,1,8,4,1,2,5,3,7,1,1, ,1, ,1, ,1, , , , ,2,2,2,2,2,4,5,5,5,2,3,4,5,1,6
QSI573,0,58.187.12.78,100,560,1,04/05/2019,R_DAdCf1AylEQzcQN, , , , ,21.03129578,105.851593,anonymous,VI,2,29,3,4,2,2,1,3,1,1,1,1,1,1,1, ,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,5,4,6,3,1,2,8,5,1,2,3,4,6,1,1,1,1,1,1, ,1, , , , ,2,2,1,2,2,5,5,5,5,1,2,3,5,4,6
QSI574,0,123.24.121.230,100,1230,1,04/05/2019,R_1gO3AuZcW0VYSQY, , , , ,21.03129578,105.851593,anonymous,VI,2,25,2,2,2,2,1,3,1, , , , , ,1, ,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3,6,4,5,8,3,2,1,4,5,6,1, , , , ,1, ,1, , , , ,1,1,1,1,2,5,5,5,5,5,1,4,2,3,6
QSI575,0,14.163.106.231,100,2851,1,04/05/2019,R_1IcqX8Ka0a1phQh, , , , ,18.66670227,105.666687,anonymous,VI,2,36,2,4,2,2,1,3, ,1,1,1,1,1,1, ,1,3,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,4,5,3,6,2,8,5,1,2,3,4,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,2,1,1,1,1,5,3,2,4,1,6
QSI576,0,27.79.228.19,100,739,1,04/05/2019,R_sUzmAzGPt3mwXnz, , , , ,21.03129578,105.851593,anonymous,EN-GB,2,211,2,1,2,2,1,3,1,1,1, , , , , ,1,2,1,2,2,2,2,3,1,2,2,1,1,1,1,1,6,4,3,2,5,1,8,4,1,5,2,3,6,1,1, ,1,1,1, , ,1,1, , ,2,1,1,2,2,4,4,4,4,3,2,4,5,1,6
QSI577,0,14.177.36.180,100,1404,1,04/05/2019,R_27UMQFvmDAUYYIh, , , , ,21.03129578,105.851593,anonymous,VI,2,25,2,2,2,2,1,4,1,1,1, ,1, ,1, ,1,3,1,2,1,2,2,3,1,1,1,1,1,1,1,1,4,3,5,2,6,1,8,2,1,3,4,5,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,5,2,3,4,1,6
QSI578,0,1.55.135.139,100,6334,1,04/05/2019,R_1isXOJUfQDJUBlL, , , , ,21.03129578,105.851593,anonymous,EN,2,24,2,1,2,2,1,2,2,1,1, , , ,1, ,1,1,2,1,2,3,3,1,1,1,2,1,1,1,1,1,6,5,3,1,2,4,8,3,4,1,2,5,6,1,1,1,1,1,1, , ,1, , , ,2,2,3,2,3,1,2,2,2,5,1,3,4,2,6
QSI579,0,118.70.212.42,100,1051,1,04/05/2019,R_3ptNjTQrSi0wupq, , , , ,21.03129578,105.851593,anonymous,VI,2,32,3,4,2,1,1,4,1,1,1, , , , , ,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,7,3,6,3,2,1,4,5,6,1, , , , , ,1, ,1, , , ,2,2,2,3,2,3,3,3,3,5,1,3,2,4,6
QSI580,0,183.81.98.174,100,610,1,04/05/2019,R_su6SlEPg7gDT9nP, , , , ,21.03129578,105.851593,anonymous,FR,2,20,2,1,2,2,1,3,1,1,1, ,1, ,1, ,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,6,4,5,2,3,8,2,3,1,4,5,6,1,1,1,1,1,1, , ,1, , , ,1,1,2,1,1,5,5,4,5,2,1,5,4,3,6
QSI581,0,113.20.116.13,100,327,1,04/05/2019,R_7R7MhyOwnTy2Prr, , , , ,21.03129578,105.851593,anonymous,VI,2,35,3,2,3,1,1,4,1,1,1,1,1,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,2,6,4,8,5,4,1,3,2,6,1,1,1,1,1,1, ,1, , , , ,2,2,1,2,2,5,5,5,5,3,1,2,5,4,6
QSI582,0,14.162.156.240,100,633,1,04/05/2019,R_1gBnoMSXGzob7hR, , , , ,21.03129578,105.851593,anonymous,VI,2,18,2,1,2,5,1,3,2,1,1, , , ,1, ,2,3,4,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,6,3,5,4,8,5,2,1,3,4,6,1,1,1,1,1,1, , ,1, , , ,2,2,2,2,3,5,5,5,5,3,1,5,4,2,6
QSI583,0,123.22.62.94,100,1482,1,04/05/2019,R_25GYz0F6FEryP6M, , , , ,9.934692383,106.3453064,anonymous,VI,1,21,2,1,2,2,1,2,1,1,1, , ,1,1, ,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,1,3,2,8,2,3,1,4,5,6,1,1,1,1,1,1, ,1, , , ,1,1,1,2,2,2,5,5,5,5,3,4,5,2,1,6
QSI584,0,113.185.11.25,100,347,1,04/05/2019,R_x41z8o7gwwKuihb, , , , ,21.03129578,105.851593,anonymous,VI,2,20,2,1,2,2,1,1,2,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,5,4,3,2,8,5,2,1,3,4,6,1,1,1,1,1,1, , ,1, , , ,3,1,1,1,2,5,5,5,5,5,2,4,3,1,6
QSI585,0,14.248.179.47,100,643,1,04/05/2019,R_31FVXw1k8DLdU2q, , , , ,20.41670227,106.166687,anonymous,EN,2,24,2,2,3,2,1,4,2,1,1, ,1, , , ,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,5,4,6,3,8,5,1,2,4,3,6,1,1, , , ,1, , ,1,1, , ,2,1,1,1,1,5,5,4,5,5,2,4,3,1,6
QSI586,0,119.175.35.94,100,1752,1,04/05/2019,R_2QRIDSBUbNhxyfa, , , , ,33.58329773,130.3999939,anonymous,EN,2,29,2,2,3,1,1,4,1,1,1,1,1,1,1, ,1,3,4,2,1,1,1,2,1,1,2,1,1,1,1,1,4,5,3,1,6,2,8,5,1,2,4,3,6,2,1, ,1,1,1, , ,1, , , ,1,1,1,1,2,4,4,5,5,5,3,2,4,1,6
QSI587,0,42.114.30.249,100,790,1,04/05/2019,R_2zAyrSO8bC3mfra, , , , ,21.03129578,105.851593,anonymous,EN,2,23,2,2,2,1,1,1,2,1,1,1,1, , , ,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,6,5,4,8,5,1,2,3,4,6,2,1, ,1, ,1, ,1,1,1, , ,2,2,2,2,2,4,4,5,5,1,2,3,5,4,6
QSI588,0,14.232.214.183,100,1055,1,04/05/2019,R_3fdGV5VKPh45Rx8, , , , ,21.03129578,105.851593,anonymous,EN,2,41,2,4,3,2,1,3,1,1,1,1,1, ,1, ,1,3,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,3,4,5,6,8, , , , , , ,1,1,1,1,1,1,1, ,1, , , ,1,1,1,1,1,5,5,5,5, , , , , , 
QSI589,0,125.212.181.105,100,659,1,04/05/2019,R_2fcTbWvtAyupM1z, , , , ,21.03129578,105.851593,anonymous,VI,1,39,3,4,3,1,1,4,1,1, ,1,1, ,1, ,1,3,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,4,6,5,8,4,2,1,3,5,6,1,1,1,1,1,1, , , ,1, , ,2,2,4,1,2,5,3,5,5,2,4,5,3,1,6
QSI590,0,171.233.137.201,100,574,1,04/05/2019,R_ZtaMsmNbILDWcVz, , , , ,10.81419373,106.6437988,anonymous,VI,2,16,1,1, ,2,1,4,2,1,1,1, , , , ,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,6,3,5,4,8,5,1,2,4,3,7,1, , , , ,1, ,1, , , , ,2,1,1,1,1,5,5,5,3,2,4,5,3,1,6
QSI591,0,113.23.24.162,100,652,1,04/05/2019,R_2EyJw7D4onx64bO, , , , ,10.81419373,106.6437988,anonymous,VI,2,19,2,1,2,1,1,2,1,1,1,1, , ,1, ,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,4,5,6,1,3,2,8,4,1,2,6,3,5,1,1,1,1,1,1,1,1,1, , , ,1,1,1,1,1,5,4,5,5,2,1,4,5,3,6
QSI592,0,27.72.60.83,100,2176,1,04/05/2019,R_11gVpZBSxFWuzsz, , , , ,21.03129578,105.851593,anonymous,EN,2,21,2,1,2,2,1,3,2,1,1, , , , , ,1,2,4,2,1,1,2,2,1,1,2,1,1,1,1,1,6,3,4,1,5,2,8,4,2,3,5,1,6,1,1, ,1, ,1, ,1, , , , ,1,1,2,1,3,3,4,4,5,5,1,3,4,2,6
QSI593,0,113.173.46.171,100,2213,1,04/05/2019,R_24JnbvNTwTzLKAJ, , , , ,10.81419373,106.6437988,anonymous,VI,2,30,2,4,2,2,1,1,2,1,1, ,1, ,1, ,1,2,4,2,1,1,1,2,1,1,1,3,3,3,1,1,3,4,6,2,5,1,8,4,2,1,5,3,6,1,1,1,1,1,1, ,1, , , ,1,1,1,1,1,1,5,5,5,5,1,3,4,5,2,6
QSI594,0,123.24.184.106,100,307,1,04/05/2019,R_2CpNEh47NqHNAcv, , , , ,21.03129578,105.851593,anonymous,EN,1,25,2,1,2,2,1,3,1,1,1,1, , ,1, ,1,2,2,2,1,2,3,4,1,1,1,1,2,1,1,2,6,5,2,4,3,1,8,4,1,2,5,3,6,1,1, ,1,1,1, ,1, , , , ,4,3,1,1,3,2,1,2,2,2,1,4,5,3,6
QSI595,0,14.249.128.251,100,953,1,04/05/2019,R_22sQoSwZ1daBcdE, , , , ,20.85609436,106.6821899,anonymous,VI,2,43,3,2,2,1,1,4,1,1,1,1,1,1,1, ,1,3,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,6,3,5,4,8,5,1,2,3,4,6,1,1,1,1,1,1, , ,1,1, , ,2,2,2,2,3,3,4,4,2,5,4,2,3,1,6
QSI596,0,14.231.191.50,100,82846,1,04/05/2019,R_1OuwfI2bDLbpdvo, , , , ,21.03129578,105.851593,anonymous,VI,2,43,2,4,2,5,1,4,1,1,1,1,1, , , ,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,4,6,8,5,1,2,3,4,6,1, , ,1,1,1, , ,1, , , ,2,2,2,2,2,1,1,1,1,5,3,4,2,1,6
QSI597,0,118.70.171.173,100,453,1,04/05/2019,R_1HdaiDtQOf7OfvP, , , , ,21.03129578,105.851593,anonymous,VI,2,19,2,1,2,2,1,4,2,1,1,1, , ,1, ,1,2,4,2,2,2,1,3,2,1,1,1,1,1,1,1,1,5,3,4,2,6,8,1,2,3,4,5,6,2,1,1, ,1,1, , , ,1, , ,2,2,3,2,2,4,4,4,4,5,3,4,2,1,6
QSI598,0,14.232.208.167,100,659,1,04/05/2019,R_1NtJpavsgajdlHr, , , , ,21.03129578,105.851593,anonymous,VI,2,22,2,1,2,2,1,4,1,1, ,1, , , , ,1,2,4,2,1,1,2,2,2,1,2,1,1,1,1,1,3,6,5,1,4,2,8,4,2,1,5,3,6,1,1,1,1,1,1, , ,1, , , ,2,3,1,2,3,4,5,5,5,2,4,5,3,1,6
QSI599,0,27.67.18.167,100,281177,1,04/05/2019,R_POtwhJZYX7MdsyZ, , , , ,21.03129578,105.851593,anonymous,VI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI600,0,42.114.39.85,100,917,1,04/05/2019,R_1BXCQsk9sztxh4j, , , , ,21.03129578,105.851593,anonymous,EN,2,23,2,1,2,2,1,4,1,1,1, ,1, , , ,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,2,5,3,6,1,8,3,2,1,4,5,6,1, , , , , ,1, ,1, , , ,1,1,1,2,2,4,4,4,4,1,2,3,5,4,6
QSI601,0,14.231.215.212,100,703,1,04/05/2019,R_1P2bqj4xEK7YG6t, , , , ,21.03129578,105.851593,anonymous,VI,1,32,2,2,3,2,1,3,1,1,1,1,1, ,1, ,1,3,1,2,1,2,2,2,1,1,1,1,1,1,1,1,6,5,4,3,2,1,8,1,4,2,5,3,6,1, , , , ,1, ,1, , , , ,1,1,1,1,3,5,5,5,5,2,1,3,5,4,6
QSI602,0,1.55.245.4,100,2239,1,04/05/2019,R_1MWf7XcAmGGwLPM, , , , ,21.03129578,105.851593,anonymous,VI,1,23,2,1,2,2,1,4,1,1,1,1,1,1,1, ,1,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1, , , , , , , ,5,2,1,3,4,6,2,1,1,1,1,1, ,1, ,1, , ,2,2,1,1,2,5,5,5,5,4,1,5,3,2,6
QSI603,0,113.185.11.173,100,1174,1,04/05/2019,R_1iagvpAgeO5N2Yr, , , , ,21.03129578,105.851593,anonymous,VI,2,25,2,4,2,5,1,3,1, , , , , ,1, ,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,6,4,2,3,1,7,4,2,1,5,3,6,1, , , , ,1, , ,1, , , ,1,1,1,1,2,1,1,1,1,5,4,3,2,1,6
QSI604,0,171.253.7.250,40,8,0,04/05/2019,R_2P119Sfp77wOVMt, , , , , , ,anonymous,VI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI605,0,113.185.15.150,100,588,1,04/05/2019,R_OkFQ3C1vLwpmLex, , , , ,21.03129578,105.851593,anonymous,EN-GB,2,23,2,1,2,1,1,2,1,1,1,1,1,1,1, ,1,3,1,2,1,1,2,2,1,1,1,1,1,1,1,1,5,1,2,6,4,3,8,4,2,3,5,1,6,1, , , , ,1, ,1, , , , ,1,1,1,2,1,1,1,2,1,2,1,5,4,3,6
QSI606,0,27.67.190.121,100,595,1,04/05/2019,R_1Ok4z9iLYU7qAkX, , , , ,21.03129578,105.851593,anonymous,VI,2,31,3,2,3,2,1,4,1,1,1,1,1, ,1, ,1,3,4,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,4,5,3,6,8,4,1,2,5,3,6,2, , , , ,1, , ,1, , , ,2,2,2,2,3,5,5,5,5,4,3,2,5,1,6
QSI607,0,171.237.209.158,100,527,1,04/05/2019,R_XHOaGbfwWSAtsMV, , , , ,21.03129578,105.851593,anonymous,VI,1,38,3,2,4,2,1,3,1,1,1,1,1,1,1, ,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,5,6,8, , , , , , ,2, , , , ,1, , , ,1, , ,3,3,2,3,4,2,2,2,2,1,2,4,3,5,6
QSI608,0,58.64.210.133,100,1611,1,04/05/2019,R_3J5lAFDPCDfBVC5, , , , ,22.29089355,114.1499939,anonymous,VI,2,37,3,2,3,1,2,2,1,1,1,1,1, ,1, ,1,1,4,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,6,5,3,4,8,4,1,3,2,5,6,1,1,1,1,1,1, ,1, , , , ,2,2,1,2,2,1,2,1,1,1,2,3,4,5,6
QSI609,0,118.71.196.175,100,823,1,04/05/2019,R_WeAdmbKvKspqcVz, , , , ,21.03129578,105.851593,anonymous,EN,1,27,2,2,3,2,1,4,2, ,1,1,1, ,1, ,1,2,2,1,2,1,2,3,1,1,2,1,1,1,1,1,5,6,4,3,1,2,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1,1,1,1, ,2,1,2,2,2,1,2,2,1,1,2,4,5,3,6
QSI610,0,123.21.78.26,100,1007,1,04/05/2019,R_2YJqhqnkjkwCPif, , , , ,10.81419373,106.6437988,anonymous,EN,2,29,3,2,3,2,1,4,1, ,1, , , ,1, ,1,2,4,1,2,2,2,2,1,1,2,1,1,1,1,1,2,3,5,1,6,4,8,4,1,2,5,3,6,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1,5,5,5,5,1,2,3,5,4,6
QSI611,0,27.71.204.198,100,2593,1,04/05/2019,R_12ShvcumxscMHQc, , , , ,10.81419373,106.6437988,anonymous,VI,2,29,2,2,2,2,1,3,2,1,1,1,1, ,1, ,1,2,1,2,1,1,2,4,1,1,1,1,1,1,1,1,2,1,3,4,5,6,8,4,1,2,3,5,6,1,1,1,1,1,1, , ,1, ,1, ,1,2,1,2,2,5,5,3,5,3,1,4,2,5,6
QSI612,0,27.79.246.56,100,573,1,04/05/2019,R_2S6IY9deaj2g39A, , , , ,21.03129578,105.851593,anonymous,VI,2,16,1,1, ,2,1,3,1,1,1,1, , , , ,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,4,6,5,2,1,8,5,2,1,3,4,6,1, , ,1, ,1, , ,1, , , ,3,2,3,2,4,4,5,5,5,1,2,4,5,3,6
